هاله_اسفندیاری,Haleh Esfandiari, Iranian-American academic and the director of the Middle East Program at the Woodrow Wilson International Center for Scholars ,Academic,Invalid Site
سید_هاشم_آقاجری,Syed Hashem Aghajari ,"Member of the Islamic Revolution Mojahedin Organization of Iran who was charged with apostasy, incarcerated and banned from teaching for 5 years",Academic,Invalid Site
یرواند_آبراهامیان,Ervand Abrahamian ,Has written books on Iran's modern history,Academic,Invalid Site
افشین_متین_عسگری,Afshin Matin Asgari,"A professor at California State University on Middle Eastern History, Asgari has written publications on Iran",Academic,Invalid Site
علی_میرسپاسی,Ali Mirsepasi,A professor of sociology at NYU whose published many works on Iran,Academic,Invalid Site
آصف_بیات,Asef Bayat,"An academic professor in sociology, and a scholar and writer in politics, Dr. Bayat has taught at major universities and has been published numerous times ",Academic,Invalid Site
رامین_جهانبگلو,Ramin Jahanbeglo,"An Iranian philosopher and professor who has been outspoken against the regime, and has been incarcerated",Academic,Invalid Site
تورج_اتابکی,Turaj Atabaki,A History professor at the University of Amsterdam,Academic,Invalid Site
حمید_دباشی,Hamid Dabashi,"An Iranian, political, and religious scholar who teaches at Columbia University and speaks on issues related to Iran",Academic,Invalid Site
هاله_افشار,Haleh Afshar,British-Iranian Muslim feminist scholar,Academic,Invalid Site
ژانت_آفاری,Janet Afary,Iranian women's studies scholar and activist ,Academic,Invalid Site
والنتین_مقدم,Valentine Moghadam,Iranian feminist scholar and activist,Academic,Invalid Site
حاج_فرج_دباغ,Abdul Karim Soroush,"A professor, scholar, theologian, and philosopher who has been increasingly critical of the Islamic Republic",Academic,Invalid Site
داریوش_آشوری,Dariush Ashuri,An author and translator whose work spans over four decades ,Academic,Invalid Site
عباس_میلانی,Abas Milani,Stanford University professor who spent 12 years in prison on charges of belonging to the Tudeh Party,"Academic
",Invalid Site
تورج_دریایی,Turaj Daryabi,A Persian and History professor at UCLA with an expertise on the Sassanid era,"Academic
",Invalid Site
مازیار_بهروز,Maziar Behrooz,A historian and academic who supported the Green Movement,"Academic
",Invalid Site
سعید_مدنی,Saeed Madni,A banned sociological professor who has been incarcerated for his connection to certain Green Movement post-2009 protests,Academic ,Invalid Site
مهرداد_مشایخی,Mehrdad Mashayekhi,Sociologist and political activist who has written books on democratization and supported the green movement,Academic ,Invalid Site
