103.23.247.0/24	Ministry of Communications and IT
180.94.64.0/24	GCN/DCN Networks 
180.94.65.0/24	GCN/DCN Networks 
180.94.68.0/24	GCN/DCN Networks 
180.94.69.0/24	GCN/DCN Networks 
180.94.70.0/24	GCN/DCN Networks 
180.94.71.0/24	GCN/DCN Networks 
180.94.72.0/24	GCN/DCN Networks 
180.94.73.0/24	GCN/DCN Networks 
180.94.74.0/24	GCN/DCN Networks 
180.94.75.0/24	GCN/DCN Networks 
180.94.76.0/24	GCN/DCN Networks 
180.94.77.0/24	GCN/DCN Networks 
180.94.78.0/24	GCN/DCN Networks 
180.94.79.0/24	GCN/DCN Networks 
180.94.80.0/24	GCN/DCN Networks 
180.94.81.0/24	GCN/DCN Networks 
180.94.82.0/24	GCN/DCN Networks 
180.94.83.0/24	GCN/DCN Networks 
180.94.84.0/24	GCN/DCN Networks 
180.94.85.0/24	GCN/DCN Networks 
180.94.86.0/24	GCN/DCN Networks 
180.94.87.0/24	GCN/DCN Networks 
180.94.88.0/24	GCN/DCN Networks 
180.94.89.0/24	GCN/DCN Networks 
180.94.90.0/24	GCN/DCN Networks 
180.94.91.0/24	GCN/DCN Networks 
180.94.92.0/24	GCN/DCN Networks 
180.94.93.0/24	GCN/DCN Networks 
180.94.94.0/24	GCN/DCN Networks 
180.94.95.0/24	GCN/DCN Networks 
203.215.34.0/24	Government Communications Network-District Communications Network
