202.96.14.0/24	China National Nuclear Corporation 
202.96.25.0/24	China Center For Info&Reserch on 
202.96.62.0/24	The State Culture Ministry
202.99.0.0/23	China Defence S&T Information Center 
202.99.26.0/24	Ministry of Foreign Affairs of P.R.C.
202.106.142.0/24	Commission of Science Technology for
202.108.127.0/24	China Radio International
202.108.244.0/23	Beijing Telecom Project Bureau
203.207.64.0/19	State Information Center
210.76.112.0/20	Beijing IT Industry Promotion Center
218.245.64.0/18	China Network Information Center 
218.245.128.0/17	China Network Information Center
