109.201.25.0/24	Pardis Ettela Resaan Sepehr
178.22.72.0/21	Fars News Agency Cultural Arts Institute
194.143.140.0/23	National Iranian Oil Company 
194.143.140.0/24	National Iranian Oil Company 
194.143.141.0/24	National Iranian Oil Company
195.146.34.50/32	Ministry of Health \& Medical Education
195.146.59.0/24	MATMA ... I think
2.188.64.0/24	National Iranian Oil Company 
212.80.23.0/24	Supreme audit Court
212.95.152.0/22	Behdasht Network
212.95.152.0/22	Behdasht Network 
212.95.152.0/24	Behdasht Network 
212.95.153.0/24	Behdasht Network 
212.95.154.0/24	Behdasht Network 
212.95.156.0/24	Ministry Of Health and Medical Education
212.95.158.0/23	Behdasht Network
213.176.0.0/17	Iranian Research Organization for Science & Technology
213.176.122.0/24	Iranian Research Organization for Science & Technology
213.176.123.0/24	Iranian Research Organisation for Science,Technology Park 
213.176.124.0/24	Iranian Research Organization for Science & Technology
213.176.4.0/24	IranianResearch Organization fo Science and Technology
213.176.5.0/24	Iranian Research Organization for Science & Technology 
213.176.74.0/24	Ministry of Science, Research & Technology (Iran)
213.176.75.0/24	Ministry of Science, Research & Technology (Iran) 
217.11.20.0/24	Bimeh markazi 
217.11.21.0/24	Ministry of Industries and Mines
217.172.96.0/22	Ministry Of Foreign Affairs of Iran
217.174.16.0/20	National Iranian Oil Company 
217.174.16.0/24	National Iranian Oil Company
217.218.61.0/24	Zaeim Electronic Industries
217.25.48.0/20	IRNA 
217.25.48.0/24	IRNA 
217.25.49.0/24	IRNA 
217.25.50.0/24	IRNA 
217.25.51.0/24	IRNA 
217.25.52.0/24	IRNA
217.25.52.0/24	IRNA 
217.25.53.0/24	IRNA 
217.25.54.0/24	IRNA 
217.25.55.0/24	IRNA 
217.25.56.0/24	IRNA 
217.25.57.0/24	IRNA 
217.25.58.0/24	IRNA 
217.25.59.0/24	IRNA 
217.25.60.0/24	IRNA 
217.25.61.0/24	IRNA 
217.25.62.0/24	IRNA 
217.25.63.0/24	IRNA
31.24.232.0/21	Tehran Municipality ICT Organization 
46.209.126.0/24	Securities & Exchange Organization
46.255.216.0/21	United Nations High Commissioner for Refugees 
46.255.216.0/24	UNHCR IRAN
46.255.216.0/24	UNHCR IRAN 
46.255.217.0/24	UNHCR Infrasructure
46.38.157.0/24	Securities & Exchange Organization
62.220.112.0/23	Center for Strategic Research of Iran
62.60.128.0/18	Iranian Research Organization for Science & Technology
62.60.145.0/24	Iranian Research Organization for Science & Technology
62.60.149.0/24	Iranian Research Organization for Science & Technology 
77.36.128.0/17	IRIB (Islamic Republic of Iran Broadcasting)
77.36.144.0/21	IRIB (Islamic Republic of Iran Broadcasting)
77.36.152.0/22	IRIB     
77.36.158.0/24	IRIB     
78.38.193.0/24	Atomic Energy Organization of Iran
78.39.179.0/24	iranair
79.175.135.0/24	Agriculture-Jahad Ministry 
80.191.0.0/24	ministry of interior affairs
80.191.0.0/24	ministry of interior affairs 
80.191.2.0/24	Iran Telecommunication Research Center., ITR
80.191.69.0/24	Presidential Office, Computer Dept
80.69.251.0/24	Mehr News
81.28.32.0/19	IsIran
81.28.32.0/20	IsIran
81.28.32.0/21	IsIran
81.28.32.0/22	ISiran
81.28.32.0/24	ISiran
81.28.33.0/24	ISiran
81.28.34.0/23	ISiran
81.28.34.0/24	ISiran
81.28.35.0/24	ISiran
81.28.36.0/22	IsIran
81.28.38.0/24	Institute ISiran
81.28.40.0/23	IsIran
81.28.40.0/24	Institute Isiran Aghdasieh POP
81.28.44.0/22	IsIran
81.28.48.0/20	IsIran
81.28.48.0/21	IsIran
81.28.48.0/24	Institute ISiran
81.28.50.0/23	IsIran
81.28.50.0/24	IsIran
81.28.51.0/24	IsIran
84.47.204.0/22	MSRT
84.47.248.0/22	MFA Network 
84.47.252.0/22	MFA Network
91.222.196.0/24	Computer research center of islamic seminary of Isfahan 
91.222.197.0/24	Computer research center of islamic seminary of Isfahan 
91.222.198.0/24	Computer research center of islamic seminary of Isfahan 
91.222.199.0/24	Computer research center of islamic seminary of Isfahan
91.224.110.0/23	Imam Khomeini Relief Foundation IKRF 
93.190.24.0/23	Press TV Co.
